date,trip,month,year,time ,site ,kelp_pile_num,Dominant_species,kelp_L_m,kelp_W_m,kelp_D_m,ellipse_A_m2,sarg,sarg_L_1,sarg_W_1,sarg1_A,sarg_L_2,sarg_W_2,sarg2_A,sarg_L_3,sarg_W_3,sarg3_A,sarg_L_4,sarg_W_4,sarg4_A,sarg_total,ratio,percent
3/15/22,1,March,2022,1:29 PM,Artist,1,M. pyrifera,1.08,0.11,0.03,0.194580488,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,2,M. pyrifera,1,0.07,0.01,0.11186121,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,3,Stephanocystis spp.,1.24,0.19,0.01,0.372386166,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,4,Stephanocystis spp.,1.08,0.34,0.02,0.580932664,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,5,Stephanocystis spp.,1.01,0.14,0.01,0.223901117,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,6,Stephanocystis spp.,1,0.17,0.04,0.276525813,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,7,Stephanocystis spp.,2.03,0.2,0.06,0.668981614,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,8,Stephanocystis spp.,1.1,0.27,0.08,0.490581406,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,9,Stephanocystis spp.,1.07,0.33,0.06,0.569423474,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/22,1,March,2022,1:29 PM,Artist,10,Stephanocystis spp.,1.42,0.38,0.03,0.85549766,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
